source_address,timestamp,x,y
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:22Z,398372.188796116,332975.357746253
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:23Z,398372.805832821,332974.979325944
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:24Z,398373.422869525,332974.600905635
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:25Z,398374.03990623,332974.222485325
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:26Z,398374.656942934,332973.844065016
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:27Z,398375.273979639,332973.465644707
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:28Z,398375.891016343,332973.087224398
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:29Z,398376.508053048,332972.708804088
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:30Z,398377.125089752,332972.330383779
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:31Z,398377.742126457,332971.951963469
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:32Z,398378.359163161,332971.57354316
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:33Z,398378.976199865,332971.195122851
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:34Z,398379.59323657,332970.816702542
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:35Z,398380.210273274,332970.438282232
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:36Z,398380.827309979,332970.059861923
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:37Z,398381.444346683,332969.681441614
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:38Z,398382.061383387,332969.303021305
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:39Z,398382.678420092,332968.924600995
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:40Z,398383.295456796,332968.546180686
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:41Z,398383.912493501,332968.167760376
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:42Z,398384.529530205,332967.789340067
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:43Z,398383.174184846,332969.364304981
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:44Z,398381.818839487,332970.939269896
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:45Z,398380.463494128,332972.51423481
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:46Z,398379.108148769,332974.089199725
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:47Z,398377.75280341,332975.664164639
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:48Z,398378.369840114,332975.28574433
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:49Z,398378.986876819,332974.907324021
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:50Z,398379.603913523,332974.528903711
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:51Z,398380.220950228,332974.150483402
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:52Z,398380.837986932,332973.772063093
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:53Z,398381.455023636,332973.393642784
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:54Z,398382.072060341,332973.015222474
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:55Z,398382.689097045,332972.636802165
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:56Z,398383.30613375,332972.258381855
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:57Z,398383.923170454,332971.879961546
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:58Z,398384.540207159,332971.501541237
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:59Z,398385.157243863,332971.123120927
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:25:00Z,398385.774280568,332970.744700618
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:25:01Z,398386.391317272,332970.366280308
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:25:02Z,398387.008353977,332969.987859999
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:25:03Z,398384.074424285,332969.684134964
